"AccusedMasterID","CaseMasterID","AccusedName","AgeYear","GenderID","PersonID"
"107","104","Prakash Gowda 0105","54","1","A2"
"108","105","Kiran R 0105","48","1","A1"
"109","106","Suresh Babu 0106","45","1","A1"
"110","107","Prakash Gowda 0107","22","1","A1"
"111","108","Ravi Kumar 0108","34","1","A1"
"112","109","Kiran R A133","42","1","A1"
"113","110","Vijay Patil 0110","33","1","A1"
"114","111","Prakash Gowda A107","33","1","A1"
"115","111","Rizwan Khan 0112","46","1","A2"
"116","111","Rizwan Khan 0113","34","1","A3"
"117","112","Vijay Patil A41","35","1","A1"
"118","112","Prakash Gowda 0113","32","1","A2"
"119","113","Ravi Kumar 0113","41","1","A1"
"120","114","Vijay Patil 0114","46","1","A1"
"121","115","Prakash Gowda 0115","30","1","A1"
"122","116","Imran Pasha A58","19","1","A1"
"123","118","Prakash Gowda A126","28","1","A1"
"124","118","Imran Pasha 0119","36","1","A2"
"125","118","Naveen H 0120","31","1","A3"
"126","119","Suresh Babu A66","38","1","A1"
"127","121","Naveen H A105","34","1","A1"
"128","121","Prakash Gowda 0122","33","1","A2"
"129","121","Imran Pasha 0123","40","1","A3"
"130","122","Imran Pasha A171","41","2","A1"
"131","122","Arjun Nayak 0123","43","1","A2"
"132","124","Manjunath S 0124","34","1","A1"
"133","125","Rizwan Khan 0125","26","1","A1"
"134","126","Kiran R 0126","41","1","A1"
"135","127","Rizwan Khan 0127","38","1","A1"
"136","128","Kiran R 0128","51","1","A1"
"137","129","Vijay Patil 0129","44","1","A1"
"138","131","Prakash Gowda 0131","55","2","A1"
"139","132","Vijay Patil 0132","35","1","A1"
"140","133","Rizwan Khan A90","54","1","A1"
"141","135","Prakash Gowda A107","44","1","A1"
"142","137","Arjun Nayak A35","41","1","A1"
"143","137","Imran Pasha 0138","35","1","A2"
"144","140","Rizwan Khan 0140","54","1","A1"
"145","141","Kiran R 0141","47","1","A1"
"146","142","Vijay Patil A113","36","1","A1"
"147","142","Kiran R 0143","36","1","A2"
"148","142","Arjun Nayak 0144","26","1","A3"
"149","143","Manjunath S 0143","23","1","A1"
"150","144","Kiran R 0144","55","1","A1"
"151","145","Kiran R 0145","22","1","A1"
"152","146","Ravi Kumar A149","52","1","A1"
"153","148","Vijay Patil 0148","22","1","A1"
"154","149","Vijay Patil A172","49","1","A1"
"155","149","Naveen H 0150","45","1","A2"
"156","150","Ravi Kumar A87","35","1","A1"
"157","150","Arjun Nayak 0151","30","1","A2"
"158","153","Naveen H 0153","34","1","A1"
"159","155","Kiran R A8","37","1","A1"
"160","155","Imran Pasha 0156","45","1","A2"
"161","155","Ravi Kumar 0157","54","1","A3"
"162","157","Arjun Nayak 0157","31","1","A1"
"163","160","Arjun Nayak 0160","52","1","A1"
"164","162","Rizwan Khan 0162","51","1","A1"
"165","163","Ravi Kumar A28","35","1","A1"
"166","164","Imran Pasha 0164","50","1","A1"
"167","165","Manjunath S A130","24","1","A1"
"168","165","Imran Pasha 0166","52","1","A2"
"169","165","Suresh Babu 0167","49","1","A3"
"170","166","Naveen H A75","28","1","A1"
"171","167","Imran Pasha 0167","19","1","A1"
"172","168","Arjun Nayak 0168","33","1","A1"
"173","170","Prakash Gowda A143","56","1","A1"
"174","170","Kiran R 0171","37","1","A2"
"175","170","Rizwan Khan 0172","26","1","A3"
"176","173","Kiran R A91","25","1","A1"
"177","174","Imran Pasha 0174","35","1","A1"
"178","175","Kiran R A32","22","1","A1"
"179","176","Suresh Babu A104","44","1","A1"
"180","176","Prakash Gowda 0177","38","1","A2"
"181","176","Kiran R 0178","36","1","A3"
"182","177","Rizwan Khan 0177","48","1","A1"
"183","178","Naveen H 0178","19","1","A1"
"184","179","Prakash Gowda A65","20","1","A1"
"185","179","Naveen H 0180","44","1","A2"
"186","179","Arjun Nayak 0181","34","1","A3"
"187","180","Rizwan Khan 0180","50","1","A1"
"188","182","Vijay Patil A43","49","1","A1"
"189","182","Kiran R 0183","25","1","A2"
"190","182","Prakash Gowda 0184","37","1","A3"
"191","186","Suresh Babu 0186","28","1","A1"
"192","187","Suresh Babu 0187","52","1","A1"
"193","188","Arjun Nayak 0188","37","1","A1"
"194","189","Naveen H 0189","46","1","A1"
"195","190","Kiran R A38","41","1","A1"
"196","190","Imran Pasha 0191","32","1","A2"
"197","190","Vijay Patil 0192","28","1","A3"
"198","194","Kiran R 0194","32","1","A1"
"199","195","Ravi Kumar 0195","53","1","A1"
"200","196","Ravi Kumar 0196","42","1","A1"
"201","200","Naveen H 0200","26","1","A1"
"202","202","Rizwan Khan 0202","25","1","A1"
"203","204","Naveen H 0204","31","1","A1"
"204","205","Naveen H 0205","56","1","A1"
"205","207","Rizwan Khan 0207","53","1","A1"
"206","208","Rizwan Khan A33","48","1","A1"
"207","209","Manjunath S A130","45","2","A1"
"208","209","Prakash Gowda 0210","33","1","A2"
"209","209","Prakash Gowda 0211","23","1","A3"
"210","211","Arjun Nayak A154","54","1","A1"
"211","211","Rizwan Khan 0212","47","1","A2"
"212","211","Suresh Babu 0213","23","1","A3"
"213","213","Vijay Patil 0213","20","1","A1"
"214","217","Ravi Kumar 0217","47","1","A1"
"215","219","Rizwan Khan A48","24","2","A1"
"216","219","Imran Pasha 0220","24","1","A2"
"217","221","Naveen H A73","54","1","A1"
"218","221","Vijay Patil 0222","50","1","A2"
"219","221","Kiran R 0223","34","1","A3"
"220","222","Prakash Gowda A71","50","1","A1"
"221","222","Imran Pasha 0223","27","1","A2"
"222","223","Arjun Nayak 0223","35","1","A1"
"223","224","Imran Pasha A2","23","1","A1"
"224","224","Suresh Babu 0225","55","1","A2"
"225","224","Suresh Babu 0226","33","1","A3"
"226","225","Prakash Gowda A14","25","1","A1"
"227","225","Naveen H 0226","44","1","A2"
"228","225","Ravi Kumar 0227","51","1","A3"
"229","226","Suresh Babu 0226","43","1","A1"
"230","227","Ravi Kumar 0227","23","1","A1"
"231","228","Rizwan Khan A108","35","1","A1"
"232","229","Kiran R 0229","22","1","A1"
"233","230","Vijay Patil 0230","44","2","A1"
"234","231","Imran Pasha 0231","56","1","A1"
"235","232","Manjunath S A139","30","1","A1"
"236","232","Imran Pasha 0233","40","1","A2"
"237","232","Arjun Nayak 0234","30","1","A3"
"238","233","Naveen H 0233","47","1","A1"
"239","235","Manjunath S A151","30","1","A1"
"240","235","Rizwan Khan 0236","22","1","A2"
"241","235","Manjunath S 0237","31","1","A3"
"242","236","Arjun Nayak 0236","41","1","A1"
"243","237","Ravi Kumar A147","24","1","A1"
"244","238","Ravi Kumar 0238","28","1","A1"
"245","239","Kiran R 0239","27","1","A1"
"246","240","Naveen H 0240","21","1","A1"
"247","241","Imran Pasha 0241","40","1","A1"
"248","243","Kiran R A136","27","1","A1"
"249","243","Prakash Gowda 0244","22","1","A2"
"250","247","Vijay Patil A109","55","1","A1"
"251","248","Naveen H 0248","49","1","A1"
"252","249","Vijay Patil 0249","52","1","A1"
"253","250","Vijay Patil 0250","47","1","A1"
"254","253","Naveen H 0253","51","1","A1"
"255","255","Naveen H 0255","47","2","A1"
"256","257","Naveen H A61","20","1","A1"
"257","257","Arjun Nayak 0258","40","1","A2"
"258","257","Ravi Kumar 0259","26","1","A3"
"259","259","Suresh Babu 0259","44","1","A1"
"260","260","Arjun Nayak A103","20","1","A1"
"261","260","Vijay Patil 0261","45","1","A2"
"262","260","Arjun Nayak 0262","27","1","A3"
"263","261","Suresh Babu A10","52","1","A1"
"264","261","Naveen H 0262","51","1","A2"
"265","262","Prakash Gowda A117","41","1","A1"
"266","263","Arjun Nayak A24","56","1","A1"
"267","263","Manjunath S 0264","55","2","A2"
"268","263","Prakash Gowda 0265","42","1","A3"
"269","265","Rizwan Khan 0265","23","1","A1"
"270","266","Imran Pasha A58","31","1","A1"
"271","266","Suresh Babu 0267","49","1","A2"
"272","267","Vijay Patil A165","48","2","A1"
"273","267","Suresh Babu 0268","25","1","A2"
"274","267","Kiran R 0269","43","1","A3"
"275","270","Naveen H 0270","50","1","A1"
"276","271","Arjun Nayak A153","35","1","A1"
"277","271","Prakash Gowda 0272","26","1","A2"
"278","272","Naveen H 0272","50","1","A1"
"279","273","Rizwan Khan A100","30","1","A1"
"280","273","Naveen H 0274","19","1","A2"
"281","274","Naveen H 0274","26","1","A1"
"282","276","Prakash Gowda A155","40","1","A1"
"283","276","Rizwan Khan 0277","32","1","A2"
"284","276","Naveen H 0278","19","1","A3"
"285","278","Suresh Babu 0278","21","1","A1"
"286","280","Arjun Nayak A162","42","1","A1"
"287","280","Kiran R 0281","25","1","A2"
"288","281","Prakash Gowda 0281","36","1","A1"
"289","282","Kiran R A136","43","1","A1"
"290","284","Suresh Babu 0284","42","1","A1"
"291","286","Prakash Gowda A7","23","1","A1"
"292","286","Kiran R 0287","32","1","A2"
"293","286","Vijay Patil 0288","51","1","A3"
"294","287","Prakash Gowda 0287","56","1","A1"
"295","288","Vijay Patil A110","28","1","A1"
"296","289","Naveen H A88","21","1","A1"
"297","289","Imran Pasha 0290","19","1","A2"
"298","289","Manjunath S 0291","36","1","A3"
"299","291","Naveen H 0291","50","1","A1"
"300","292","Suresh Babu 0292","32","1","A1"
"301","293","Manjunath S A151","53","1","A1"
"302","293","Rizwan Khan 0294","22","1","A2"
"303","294","Prakash Gowda 0294","40","1","A1"
"304","296","Prakash Gowda A167","41","1","A1"
"305","296","Imran Pasha 0297","28","1","A2"
"306","299","Ravi Kumar A76","50","1","A1"
"307","299","Arjun Nayak 0300","21","1","A2"
"308","299","Imran Pasha 0301","19","2","A3"
"309","300","Naveen H A75","35","1","A1"
"310","303","Prakash Gowda A36","36","1","A1"
"311","303","Vijay Patil 0304","46","1","A2"
"312","305","Manjunath S A139","30","1","A1"
"313","305","Manjunath S 0306","51","1","A2"
"314","306","Imran Pasha 0306","42","1","A1"
"315","309","Manjunath S 0309","41","1","A1"
"316","310","Imran Pasha A95","45","1","A1"
"317","312","Vijay Patil 0312","56","1","A1"
"318","313","Kiran R 0313","31","1","A1"
"319","314","Ravi Kumar A28","54","1","A1"
"320","314","Arjun Nayak 0315","37","1","A2"
"321","315","Vijay Patil A41","42","1","A1"
"322","315","Suresh Babu 0316","26","1","A2"
"323","316","Arjun Nayak A154","45","1","A1"
"324","316","Prakash Gowda 0317","55","2","A2"
"325","318","Naveen H A12","33","1","A1"
"326","323","Naveen H A84","26","1","A1"
"327","323","Arjun Nayak 0324","41","1","A2"
"328","323","Kiran R 0325","51","2","A3"
"329","324","Vijay Patil 0324","54","1","A1"
"330","325","Ravi Kumar A28","23","1","A1"
"331","327","Naveen H A64","53","1","A1"
"332","327","Vijay Patil 0328","38","1","A2"
"333","327","Naveen H 0329","38","1","A3"
"334","330","Imran Pasha 0330","44","1","A1"
"335","331","Rizwan Khan A63","41","2","A1"
"336","333","Rizwan Khan 0333","55","2","A1"
"337","334","Ravi Kumar 0334","39","1","A1"
"338","335","Arjun Nayak 0335","35","1","A1"
"339","336","Rizwan Khan 0336","39","1","A1"
"340","338","Vijay Patil 0338","50","1","A1"
"341","339","Vijay Patil 0339","27","1","A1"
"342","340","Ravi Kumar 0340","44","1","A1"
"343","341","Naveen H 0341","40","1","A1"
"344","342","Naveen H 0342","35","1","A1"
"345","344","Arjun Nayak 0344","21","1","A1"
"346","345","Naveen H A84","53","2","A1"
"347","345","Arjun Nayak 0346","36","1","A2"
"348","345","Imran Pasha 0347","38","1","A3"
"349","348","Vijay Patil 0348","25","1","A1"
"350","349","Manjunath S 0349","40","1","A1"
"351","353","Vijay Patil 0353","20","1","A1"
"352","354","Vijay Patil 0354","30","1","A1"
"353","355","Arjun Nayak A45","23","1","A1"
"354","355","Kiran R 0356","56","1","A2"
"355","356","Suresh Babu A111","56","1","A1"
"356","357","Suresh Babu 0357","42","1","A1"
"357","358","Kiran R 0358","52","1","A1"
"358","359","Rizwan Khan A108","54","1","A1"
"359","359","Suresh Babu 0360","52","1","A2"
"360","360","Vijay Patil A20","39","1","A1"
"361","360","Rizwan Khan 0361","26","1","A2"
"362","361","Manjunath S A127","44","1","A1"
"363","362","Prakash Gowda A142","21","1","A1"
"364","362","Naveen H 0363","53","1","A2"
"365","363","Imran Pasha A6","23","1","A1"
"366","363","Prakash Gowda 0364","38","1","A2"
"367","365","Imran Pasha 0365","23","1","A1"
"368","366","Naveen H 0366","38","1","A1"
"369","368","Imran Pasha A131","52","1","A1"
"370","368","Prakash Gowda 0369","46","1","A2"
"371","368","Rizwan Khan 0370","39","1","A3"
"372","369","Kiran R 0369","45","1","A1"
"373","371","Naveen H A37","32","1","A1"
"374","371","Manjunath S 0372","24","1","A2"
"375","372","Kiran R 0372","32","2","A1"
"376","374","Imran Pasha A93","49","1","A1"
"377","375","Kiran R A125","29","1","A1"
"378","376","Ravi Kumar 0376","55","1","A1"
"379","377","Imran Pasha A6","33","1","A1"
"380","377","Imran Pasha 0378","48","1","A2"
"381","378","Ravi Kumar A156","49","1","A1"
"382","379","Suresh Babu A118","45","1","A1"
"383","381","Naveen H 0381","51","2","A1"
"384","383","Manjunath S 0383","38","1","A1"
"385","385","Arjun Nayak 0385","51","1","A1"
"386","386","Naveen H A61","20","1","A1"
"387","387","Prakash Gowda A155","40","1","A1"
"388","387","Manjunath S 0388","54","1","A2"
"389","387","Imran Pasha 0389","38","1","A3"
"390","388","Suresh Babu 0388","53","1","A1"
"391","389","Imran Pasha A69","20","1","A1"
"392","389","Prakash Gowda 0390","39","1","A2"
"393","389","Imran Pasha 0391","45","1","A3"
"394","391","Naveen H A75","50","1","A1"
"395","391","Kiran R 0392","51","1","A2"
"396","391","Manjunath S 0393","27","1","A3"
"397","392","Ravi Kumar A169","22","1","A1"
"398","392","Ravi Kumar 0393","23","1","A2"
"399","393","Manjunath S 0393","48","1","A1"
"400","394","Naveen H A64","49","1","A1"
"401","395","Kiran R A38","46","2","A1"
"402","395","Vijay Patil 0396","40","1","A2"
"403","397","Vijay Patil A43","43","1","A1"
"404","398","Manjunath S 0398","50","1","A1"
"405","399","Rizwan Khan A48","31","1","A1"
"406","401","Arjun Nayak 0401","48","1","A1"
"407","402","Naveen H A52","30","1","A1"
"408","404","Suresh Babu 0404","24","1","A1"
"409","406","Prakash Gowda A143","44","1","A1"
"410","406","Imran Pasha 0407","50","1","A2"
"411","406","Manjunath S 0408","49","1","A3"
"412","410","Arjun Nayak A106","46","1","A1"
"413","411","Imran Pasha 0411","49","1","A1"
"414","414","Vijay Patil A77","51","1","A1"
"415","416","Arjun Nayak 0416","19","1","A1"
"416","419","Imran Pasha 0419","54","1","A1"
"417","420","Kiran R 0420","29","1","A1"
"418","422","Manjunath S A13","42","1","A1"
"419","422","Suresh Babu 0423","29","1","A2"
"420","422","Manjunath S 0424","55","1","A3"
"421","423","Vijay Patil 0423","37","1","A1"
"422","424","Imran Pasha 0424","52","1","A1"
"423","427","Vijay Patil 0427","40","1","A1"
"424","428","Arjun Nayak 0428","39","1","A1"
"425","429","Arjun Nayak 0429","21","1","A1"
"426","430","Rizwan Khan A100","34","1","A1"
"427","431","Manjunath S 0431","27","1","A1"
"428","433","Prakash Gowda A71","27","1","A1"
"429","433","Ravi Kumar 0434","20","1","A2"
"430","433","Prakash Gowda 0435","29","2","A3"
"431","434","Naveen H A64","29","1","A1"
"432","435","Arjun Nayak A15","27","1","A1"
"433","435","Vijay Patil 0436","56","1","A2"
"434","435","Kiran R 0437","25","1","A3"
"435","436","Kiran R 0436","23","1","A1"
"436","437","Vijay Patil A123","49","1","A1"
"437","437","Rizwan Khan 0438","19","1","A2"
"438","437","Prakash Gowda 0439","26","1","A3"
"439","438","Kiran R 0438","27","1","A1"
"440","439","Vijay Patil A140","41","1","A1"
"441","439","Ravi Kumar 0440","39","1","A2"
"442","439","Naveen H 0441","37","1","A3"
"443","440","Vijay Patil A74","38","1","A1"
"444","441","Arjun Nayak 0441","48","1","A1"
"445","442","Vijay Patil 0442","49","1","A1"
"446","443","Prakash Gowda A150","42","1","A1"
"447","443","Ravi Kumar 0444","30","1","A2"
"448","443","Imran Pasha 0445","42","1","A3"
"449","444","Arjun Nayak 0444","54","2","A1"
"450","445","Kiran R 0445","50","1","A1"
"451","446","Prakash Gowda 0446","56","1","A1"
"452","447","Arjun Nayak 0447","54","1","A1"
"453","448","Imran Pasha A69","54","1","A1"
"454","448","Ravi Kumar 0449","24","1","A2"
"455","448","Suresh Babu 0450","22","1","A3"
"456","450","Rizwan Khan 0450","42","1","A1"
"457","452","Rizwan Khan 0452","53","1","A1"
"458","453","Suresh Babu A27","39","1","A1"
"459","453","Prakash Gowda 0454","56","1","A2"
"460","453","Rizwan Khan 0455","32","1","A3"
"461","454","Kiran R A32","29","1","A1"
"462","455","Prakash Gowda 0455","29","1","A1"
"463","457","Prakash Gowda A25","31","1","A1"
"464","457","Rizwan Khan 0458","50","1","A2"
"465","457","Rizwan Khan 0459","43","1","A3"
"466","458","Kiran R 0458","35","1","A1"
"467","459","Vijay Patil 0459","39","1","A1"
"468","460","Kiran R A38","21","1","A1"
"469","461","Ravi Kumar 0461","53","1","A1"
"470","462","Arjun Nayak A35","46","1","A1"
"471","462","Kiran R 0463","29","1","A2"
"472","465","Arjun Nayak 0465","35","1","A1"
"473","466","Arjun Nayak A35","41","1","A1"
"474","466","Kiran R 0467","55","1","A2"
"475","469","Imran Pasha 0469","21","2","A1"
"476","470","Prakash Gowda 0470","28","1","A1"
"477","472","Rizwan Khan A135","26","1","A1"
"478","472","Manjunath S 0473","34","1","A2"
"479","473","Kiran R A38","51","1","A1"
"480","473","Prakash Gowda 0474","55","1","A2"
"481","473","Naveen H 0475","20","1","A3"
"482","474","Naveen H 0474","53","2","A1"
"483","475","Rizwan Khan A90","50","1","A1"
"484","475","Imran Pasha 0476","44","1","A2"
"485","475","Imran Pasha 0477","50","1","A3"
"486","477","Kiran R 0477","26","1","A1"
"487","478","Naveen H 0478","40","1","A1"
"488","479","Arjun Nayak A154","30","1","A1"
"489","479","Arjun Nayak 0480","47","1","A2"
"490","480","Naveen H A88","40","1","A1"
"491","482","Manjunath S 0482","46","1","A1"
"492","484","Prakash Gowda A53","45","1","A1"
"493","484","Vijay Patil 0485","53","1","A2"
"494","485","Vijay Patil A128","50","1","A1"
"495","485","Naveen H 0486","42","1","A2"
"496","486","Prakash Gowda A142","47","1","A1"
"497","486","Vijay Patil 0487","54","1","A2"
"498","486","Kiran R 0488","30","1","A3"
"499","488","Imran Pasha A131","53","2","A1"
"500","490","Kiran R 0490","41","1","A1"
"501","491","Naveen H 0491","48","1","A1"
"502","492","Suresh Babu A27","31","1","A1"
"503","492","Rizwan Khan 0493","54","1","A2"
"504","493","Rizwan Khan A48","33","1","A1"
"505","494","Ravi Kumar 0494","50","1","A1"
"506","495","Prakash Gowda 0495","48","2","A1"
"507","498","Suresh Babu A68","25","1","A1"
"508","498","Naveen H 0499","24","1","A2"
"509","498","Suresh Babu 0500","48","1","A3"
"510","499","Manjunath S A5","26","1","A1"
"511","500","Suresh Babu A62","53","1","A1"
"512","503","Vijay Patil A34","37","2","A1"
"513","503","Prakash Gowda 0504","38","1","A2"
"514","503","Manjunath S 0505","50","1","A3"
"515","504","Suresh Babu 0504","20","1","A1"
"516","506","Vijay Patil A172","44","1","A1"
"517","506","Manjunath S 0507","41","1","A2"
"518","507","Imran Pasha 0507","40","1","A1"
"519","510","Suresh Babu A1","46","1","A1"
"520","510","Prakash Gowda 0511","25","1","A2"
"521","510","Arjun Nayak 0512","52","1","A3"
"522","514","Ravi Kumar A179","34","1","A1"
"523","514","Kiran R 0515","19","1","A2"
"524","517","Vijay Patil A55","24","1","A1"
"525","517","Imran Pasha 0518","53","1","A2"
"526","517","Vijay Patil 0519","20","2","A3"
"527","518","Vijay Patil A172","31","1","A1"
"528","518","Vijay Patil 0519","26","1","A2"
"529","518","Ravi Kumar 0520","42","1","A3"
"530","519","Kiran R 0519","45","1","A1"
"531","521","Naveen H 0521","21","1","A1"
"532","525","Arjun Nayak A85","47","1","A1"
"533","525","Imran Pasha 0526","22","1","A2"
"534","526","Arjun Nayak A24","54","1","A1"
"535","526","Vijay Patil 0527","54","1","A2"
"536","526","Vijay Patil 0528","40","1","A3"
"537","527","Vijay Patil 0527","28","1","A1"
"538","528","Rizwan Khan 0528","30","1","A1"
"539","532","Vijay Patil 0532","45","1","A1"
"540","533","Manjunath S A139","53","1","A1"
"541","533","Kiran R 0534","27","1","A2"
"542","534","Kiran R 0534","56","1","A1"
"543","535","Manjunath S A3","25","1","A1"
"544","535","Naveen H 0536","53","1","A2"
"545","535","Kiran R 0537","41","1","A3"
"546","536","Rizwan Khan 0536","21","1","A1"
"547","540","Ravi Kumar A169","19","1","A1"
"548","540","Suresh Babu 0541","41","1","A2"
"549","543","Imran Pasha A2","33","1","A1"
"550","543","Ravi Kumar 0544","47","1","A2"
"551","544","Ravi Kumar 0544","48","1","A1"
"552","545","Naveen H A84","47","1","A1"
"553","545","Kiran R 0546","23","1","A2"
"554","546","Rizwan Khan A119","48","1","A1"
"555","548","Rizwan Khan A119","36","1","A1"
"556","548","Vijay Patil 0549","23","1","A2"
"557","548","Kiran R 0550","22","1","A3"
"558","551","Naveen H 0551","43","1","A1"
"559","552","Suresh Babu A180","40","1","A1"
"560","552","Arjun Nayak 0553","38","1","A2"
"561","553","Rizwan Khan 0553","19","1","A1"
"562","554","Manjunath S A122","41","1","A1"
"563","554","Vijay Patil 0555","48","1","A2"
"564","554","Prakash Gowda 0556","35","2","A3"
"565","555","Vijay Patil 0555","39","1","A1"
"566","558","Prakash Gowda A14","41","1","A1"
"567","560","Rizwan Khan 0560","56","1","A1"
"568","561","Kiran R 0561","32","1","A1"
"569","562","Kiran R 0562","38","1","A1"
"570","564","Imran Pasha 0564","29","1","A1"
"571","566","Rizwan Khan 0566","52","1","A1"
"572","567","Suresh Babu 0567","25","1","A1"
"573","568","Imran Pasha A58","49","1","A1"
"574","568","Arjun Nayak 0569","49","1","A2"
"575","568","Manjunath S 0570","24","1","A3"
"576","569","Rizwan Khan A48","56","1","A1"
"577","571","Rizwan Khan 0571","51","1","A1"
"578","572","Prakash Gowda 0572","24","1","A1"
"579","575","Suresh Babu 0575","36","1","A1"
"580","576","Imran Pasha A144","48","1","A1"
"581","576","Manjunath S 0577","19","1","A2"
"582","577","Arjun Nayak A153","19","1","A1"
"583","577","Imran Pasha 0578","41","1","A2"
"584","577","Naveen H 0579","32","1","A3"
"585","578","Vijay Patil A74","31","1","A1"
"586","579","Kiran R A72","26","1","A1"
"587","579","Rizwan Khan 0580","44","1","A2"
"588","579","Suresh Babu 0581","29","1","A3"
"589","581","Ravi Kumar 0581","22","1","A1"
"590","582","Naveen H 0582","42","1","A1"
"591","583","Naveen H A61","47","1","A1"
